point_id,history_tag,event_type,start_time,end_time,duration_seconds,limit,extreme_value,extreme_time,is_open,message
LIC-217016,LIC-217016/PID1/PV.CV,low_limit,2026-09-01T19:26:49.250000,2026-09-01T19:33:39.250000,410.0,38.5,38.4795013636,2026-09-01T19:29:09.250000,False,same LIC-217016 rule: low_limit for LIC-217016
LIC-217016,LIC-217016/PID1/PV.CV,high_limit,2026-09-02T01:33:39.250000,2026-09-02T01:41:59.250000,500.0,39.5,39.5360701429,2026-09-02T01:35:19.250000,False,same LIC-217016 rule: high_limit for LIC-217016
LIC-217016,LIC-217016/PID1/PV.CV,high_limit,2026-09-02T01:42:29.250000,2026-09-02T01:49:49.250000,440.0,39.5,39.5217576471,2026-09-02T01:46:19.250000,False,same LIC-217016 rule: high_limit for LIC-217016
LIC-217016,LIC-217016/PID1/PV.CV,high_limit,2026-09-02T01:52:09.250000,2026-09-02T02:03:29.250000,680.0,39.5,39.5275989231,2026-09-02T01:56:49.250000,False,same LIC-217016 rule: high_limit for LIC-217016
LIC-117016,LIC-117016/PID1/PV.CV,high_limit,2026-08-04T21:21:59.250000,2026-08-04T22:22:39.250000,3640.0,39.5,39.6486703846,2026-08-04T21:47:49.250000,False,same LIC-217016 rule: high_limit for LIC-117016
LIC-117016,LIC-117016/PID1/PV.CV,high_limit,2026-08-04T22:40:39.250000,2026-08-04T23:26:09.250000,2730.0,39.5,39.5885025641,2026-08-04T23:07:09.250000,False,same LIC-217016 rule: high_limit for LIC-117016
LIC-117016,LIC-117016/PID1/PV.CV,high_limit,2026-08-07T09:18:59.250000,2026-08-07T10:06:49.250000,2870.0,39.5,39.6530767901,2026-08-07T09:37:09.250000,False,same LIC-217016 rule: high_limit for LIC-117016
LIC-117016,LIC-117016/PID1/PV.CV,high_limit,2026-08-12T06:16:59.250000,2026-08-12T06:26:19.250000,560.0,39.5,39.5500555844,2026-08-12T06:20:59.250000,False,same LIC-217016 rule: high_limit for LIC-117016
LIC-117016,LIC-117016/PID1/PV.CV,high_limit,2026-08-12T22:53:29.250000,2026-08-12T23:17:19.250000,1430.0,39.5,39.5940044595,2026-08-12T23:00:29.250000,False,same LIC-217016 rule: high_limit for LIC-117016
LIC-117016,LIC-117016/PID1/PV.CV,low_limit,2026-08-13T08:09:09.250000,2026-08-13T08:20:09.250000,660.0,38.5,38.4282501299,2026-08-13T08:12:59.250000,False,same LIC-217016 rule: low_limit for LIC-117016
LIC-117016,LIC-117016/PID1/PV.CV,low_limit,2026-08-16T04:48:59.250000,2026-08-16T04:54:49.250000,350.0,38.5,38.485554058,2026-08-16T04:48:59.250000,False,same LIC-217016 rule: low_limit for LIC-117016
LIC-117016,LIC-117016/PID1/PV.CV,low_limit,2026-08-16T05:33:29.250000,2026-08-16T06:08:59.250000,2130.0,38.5,38.3979748611,2026-08-16T05:55:09.250000,False,same LIC-217016 rule: low_limit for LIC-117016
LIC-117016,LIC-117016/PID1/PV.CV,low_limit,2026-08-16T06:09:39.250000,2026-08-16T06:32:19.250000,1360.0,38.5,38.4488746575,2026-08-16T06:20:59.250000,False,same LIC-217016 rule: low_limit for LIC-117016
LIC-117016,LIC-117016/PID1/PV.CV,high_limit,2026-08-16T22:47:09.250000,2026-08-16T23:29:49.250000,2560.0,39.5,39.6034467901,2026-08-16T23:08:29.250000,False,same LIC-217016 rule: high_limit for LIC-117016
LIC-117016,LIC-117016/PID1/PV.CV,high_limit,2026-08-16T23:40:49.250000,2026-08-16T23:49:49.250000,540.0,39.5,39.5329055556,2026-08-16T23:43:49.250000,False,same LIC-217016 rule: high_limit for LIC-117016
LIC-117016,LIC-117016/PID1/PV.CV,low_limit,2026-08-19T19:31:09.250000,2026-08-19T19:42:29.250000,680.0,38.5,38.4369745833,2026-08-19T19:34:59.250000,False,same LIC-217016 rule: low_limit for LIC-117016
LIC-117016,LIC-117016/PID1/PV.CV,high_limit,2026-08-20T03:19:09.250000,2026-08-20T03:30:19.250000,670.0,39.5,39.5408447222,2026-08-20T03:27:09.250000,False,same LIC-217016 rule: high_limit for LIC-117016
LIC-117016,LIC-117016/PID1/PV.CV,high_limit,2026-08-20T03:32:59.250000,2026-08-20T03:41:29.250000,510.0,39.5,39.5200098611,2026-08-20T03:34:39.250000,False,same LIC-217016 rule: high_limit for LIC-117016
LIC-117016,LIC-117016/PID1/PV.CV,high_limit,2026-08-20T03:42:19.250000,2026-08-20T03:50:19.250000,480.0,39.5,39.537945,2026-08-20T03:48:49.250000,False,same LIC-217016 rule: high_limit for LIC-117016
